date,Rm-Rf,SMB,HML,RMW,CMA,Rf,Mom,ST_Rev,LT_Rev,Rp_ew_cc
30/01/2001,0.63,0.05,-0.33,-0.32,0.03,0.026,-1.06,0.25,-0.33,-0.002521197
31/01/2001,-0.72,0.39,0.39,1.09,0.72,0.026,0.55,1.14,0.28,0.002434406
1/2/2001,0.39,-0.15,0.58,0.94,0.08,0.02,0.25,0.44,1.1,-0.000540255
2/2/2001,-1.9,0.4,2.12,1.16,1.62,0.02,2.95,2.08,1.73,7.86E-05
5/2/2001,0.17,-0.32,1.05,0.53,0.32,0.02,1.59,0.8,0.78,0.003381642
6/2/2001,0.04,0.8,-0.23,-0.01,0.03,0.02,-0.38,-0.05,-0.14,-0.002437775
7/2/2001,-0.86,1.12,1.23,1.16,1.13,0.02,2.32,0.73,1.4,-0.000388492
8/2/2001,-0.67,-0.1,0.99,-0.1,0.53,0.02,0.74,0.81,0.77,0.003493553
9/2/2001,-1.42,0.19,1.63,0.58,1.35,0.02,2.26,0.7,1.19,0.003840004
12/2/2001,1.1,0.24,-0.33,0.87,0.33,0.02,-0.56,0.97,-0.52,0.002140349
13/02/2001,-0.9,0.5,1.08,0.17,0.56,0.02,1.16,-0.13,1.07,0.000373907
14/02/2001,-0.04,0.14,-0.46,-0.39,-0.91,0.02,-0.93,0.64,-1.14,-0.002412828
15/02/2001,0.93,0.02,-0.86,-0.19,-0.87,0.02,-1.98,1.03,-0.81,0.001688125
16/02/2001,-1.93,-0.03,2.05,1.12,1.8,0.02,3.27,-1.79,1.63,0.002166922
20/02/2001,-1.93,0.53,1.67,1.13,1.62,0.02,1.87,-1.85,1.53,-0.003359128
21/02/2001,-1.84,0.1,1.26,-0.14,0.51,0.02,0.38,-1.17,0.79,0.002165388
22/02/2001,-0.48,-0.87,0.69,0.56,0.04,0.02,0.07,0.21,0.34,0.004353055
23/02/2001,-0.38,0.2,-0.43,0.06,-0.22,0.02,-0.11,0.84,-0.26,-0.001531916
26/02/2001,1.91,-0.05,-0.32,-0.44,-0.21,0.02,-0.63,1.45,-0.25,-0.003285935
27/02/2001,-1.17,-0.62,1.66,1.05,1.47,0.02,2.56,-1.84,1.69,-0.00207074
28/02/2001,-1.48,0.57,0.99,0.14,1.06,0.02,1.09,-1.56,1.45,-0.002166078
1/3/2001,0.02,-0.47,-0.13,-0.2,-0.53,0.019,-0.59,0.4,-0.35,0.001522128
2/3/2001,-0.53,0.92,1.01,-0.22,1.46,0.019,1.57,-1.58,0.98,-0.001779018
5/3/2001,0.54,-0.75,0.1,-0.46,0.14,0.019,-0.79,0.22,0.01,-0.001087185
